Team_CN,Team_EN,State,Size,Length,Note
Chicago,Hua Shan,United States,15,48345,0
Budapest,Hubei Luojia,Hungary,12,15373,0
San Sebastian,Chang Jiang,Spain,17,71351,0
Berlin,Ke Bao I,Germany,9,1231,0
Edinburgh,Hu Nan I,United Kingdom,11,8805,0
Lisbon,Himalyan II,Portugal,12,116671,0
Marseilles,Hubei Longhu,France,15,47140,0
Milan,Hubei Tongji,Italy,50,504972,0
Lyons,Hubei VI,France,17,66610,0
Naples,Tsinghua I,Italy,12,22320,0
Paris,Chuan Yu I,France,41,406621,0
Newcastle-on-Tyne,Ke Bao III,United Kingdom,15,152842,0
Prague,Himalyan I,Czech Republic,11,10999,0
Rome,Hubei Jingguo,Italy,15,149327,0
Sao Paulo,Tsinghua II,Brazil,80,803819,0
Tokyo,Chuan Yu II,Japan,264,2741014,0
Venice,Ke Bao II,Italy,15,53524,0
Caracas,Wuhan Univ.,Venezuela,11,9939,0
Madrid,VCA,Spain,32,316471,0
Barcelona,Sheng Da,Spain,59,587068,0
Mexico City,Hubei V,Mexico,45,446306,0
Guadalajara,Tsinghua III,Mexico,16,59450,0
Lima,Hu Nan II,Peru,14,39004,0
Bilbao,Nanjing Univ.,Spain,16,62962,0
Vienna,Ai Wan,Austria,18,83784,0
Shanghai,Wu Lin Jing Ying,China,93,929791,0
Bogota,Wu Hu Si Hai,Colombia,17,173514,0
Buenos Aires,,Argentina,19,94212,0
Santiago,,Chile,48,481665,0
Concepcion,,Chile,17,66721,0
Genoa,,Italy,11,7081,0
Graz,,Austria,9,23670,0
Zaragoza,,Spain,13,28445,0
Innsbruck,,Austria,15,47447,0
Washington,,United States,31,310872,0
Nantes,,France,17,73257,0
Stockholm,,Sweden,13,131732,0
Rennes,,France,14,41568,0
Beijing,,China,69,685994,0
London,,United Kingdom,184,1943672,0
