country,city,lon,lat,id
United States,chicago,-87.61666667,41.83333333,147
Hungary,budapest,19.08333333,47.5,29
Spain,san-sebastian,-1.98,43.32,268
Germany,berlin,13.41666667,52.5,19
United Kingdom,edinburgh,-3.166666667,55.91666667,45
Portugal,lisbon,-9.15,38.73333333,67
France,marseilles,5.333333333,43.33333333,74
Italy,milan,9.166666667,45.45,79
France,lyons,4.833333333,45.75,70
Italy,naples,14.25,40.83333333,87
France,paris,2.351828,48.856578,95
United Kingdom,newcastle-on-tyne,-1.616666667,54.96666667,89
Czech Republic,prague,14.43333333,50.08333333,99
Italy,rome,12.45,41.9,103
Brazil,sao-paulo,-46.6363621,-23.5453402,106
Japan,tokyo,139.75,35.66666667,114
Italy,venice,12.33333333,45.43333333,116
Venezuela,caracas,-66.933333,10.5,34
Spain,madrid,-3.7,40.43333333,71
Spain,barcelona,2.15,41.38333333,14
Mexico,mexico-city,-99.11666667,19.43333333,78
Mexico,guadalajara,-103.351944,20.666111,126
Peru,lima,-77.018611,-12.035,66
Spain,bilbao,-2.953333,43.262222,258
Austria,vienna,16.33333333,48.23333333,118
China,shanghai,121.4666667,31.16666667,107
Colombia,bogota,-74.0904236,4.6304949,21
Argentina,buenos-aires,-58.4122003,-34.6050499,1
Chile,santiago-de-chile,-70.6544495,-33.453214,4
Chile,concepcion,-73.05,-36.833333,261
Italy,genoa,8.932778,44.411111,262
Austria,graz,15.433333,47.066667,263
Spain,zaragoza,-0.883333,41.65,264
Austria,innsbruck,11.383333,47.266667,267
United States,washington,-77.03333333,38.88333333,252
France,nantes,-1.553889,47.217222,265
Sweden,stockholm,18.05,59.28333333,110
France,rennes,-1.680833,48.114167,266
China,beijing,116.4166667,39.91666667,15
United Kingdom,london,-0.0833333333,51.53333333,69
